journal,freq
PLoS One,1566
Virology,734
Emerg Infect Dis,701
Viruses,563
Arch Virol,503
Sci Rep,491
Virus Research,442
Veterinary Microbiology,421
Journal of Virological Methods,363
Vaccine,363
Virol J,358
PLoS Pathog,357
The Lancet,339
Antiviral Research,321
Journal of Clinical Virology,259
BMC Infect Dis,245
Clin Infect Dis,231
American Journal of Infection Control,219
J Infect Dis,219
Front Immunol,214
Front Microbiol,205
Nucleic Acids Res,182
Veterinary Immunology and Immunopathology,177
The Lancet Infectious Diseases,167
Biochemical and Biophysical Research Communications,165
Journal of Infection,163
BMC Vet Res,163
Journal of Hospital Infection,160
mBio,157
International Journal of Infectious Diseases,153
PLoS Negl Trop Dis,150
Influenza Other Respir Viruses,147
Clinical Microbiology and Infection,146
BMC Public Health,145
Travel Medicine and Infectious Disease,133
Emerg Microbes Infect,123
"Infection, Genetics and Evolution",121
Chest,119
Int J Mol Sci,119
Current Opinion in Virology,115
Virus Genes,110
Journal of Neuroimmunology,106
Molecules,106
Journal of Molecular Biology,104
Clinical and Vaccine Immunology,101
The Nidoviruses,100
Preventive Veterinary Medicine,97
Research in Veterinary Science,97
The Veterinary Journal,92
J Cell Biol,88
Crit Care,87
Journal of Feline Medicine & Surgery,85
Vet Res,85
Journal of Dairy Science,80
Advances in Virus Research,80
Biomed Res Int,77
European Journal of Medicinal Chemistry,76
Infectious Disease Clinics of North America,76
Building and Environment,76
FEBS Letters,75
Int J Environ Res Public Health,75
Journal of Infection and Public Health,74
Journal of Allergy and Clinical Immunology,73
BMC Genomics,73
Nat Commun,73
Veterinary Clinics of North America: Small Animal Practice,72
PLoS Med,72
Bioorganic & Medicinal Chemistry,71
Trends in Microbiology,70
Cell,70
BMC Bioinformatics,69
Eur J Clin Microbiol Infect Dis,67
J Vet Med Sci,66
Nat Rev Microbiol,65
Journal of Theoretical Biology,64
Nature,64
Microbes and Infection,64
Annals of Emergency Medicine,64
Public Health,64
Veterinary Parasitology,64
Journal of Comparative Pathology,64
"Comparative Immunology, Microbiology and Infectious Diseases",63
Diagnostic Microbiology and Infectious Disease,62
Virol Sin,62
Veterinary Clinics of North America: Food Animal Practice,61
Cell Host & Microbe,59
Euro Surveill,58
J Virol,57
Genome Announc,57
J Exp Med,57
Enfermedades Infecciosas y Microbiología Clínica,56
Journal of Immunological Methods,56
Médecine et Maladies Infectieuses,54
International Journal of Antimicrobial Agents,54
J Korean Med Sci,54
PLoS Comput Biol,53
BMJ Open,51
Oncotarget,49
Bioorganic & Medicinal Chemistry Letters,49
J Vet Intern Med,49
